Dani golovi , Kolo 1, Kolo 2, Kolo 3, Kolo 4, Kolo 5, Kolo 6, Kolo 7, Kolo 8, Kolo 9, Kolo 10, Kolo 11, Kolo 12, Kolo 13
KNKP,3,3,6,10,18,22,29,29,29,29,29,29,29
Ima i gorih,6,14,19,28,34,39,45,54,65,78,81,101,105
Samo Spinut,4,7,15,21,31,41,45,52,60,69,79,85,89
UB Noževi,0,0,5,10,10,14,22,28,28,28,28,28,28
MNK Čunoglavci,3,7,16,24,32,36,41,45,53,60,66,69,73
NK Čuture,2,10,10,16,27,31,38,41,49,49,52,55,66
Los Kostolomikos,10,18,23,26,31,33,39,47,50,58,67,75,83
Matina Kola,13,20,24,36,48,52,62,66,70,73,76,79,83
Bugarske skitnice,5,12,16,26,33,36,48,58,83,90,94,94,103
HNK Pegalj,8,9,13,14,18,21,23,29,31,38,46,52,54
