Primljeni golovi , Kolo 1, Kolo 2, Kolo 3, Kolo 4, Kolo 5, Kolo 6, Kolo 7, Kolo 8, Kolo 9, Kolo 10, Kolo 11, Kolo 12, Kolo 13
KNKP,13,21,30,31,31,41,53,61,69,69,69,69,69
Ima i gorih,5,5,5,17,22,26,28,34,42,49,58,61,66
Samo Spinut,3,4,9,12,19,23,30,34,45,48,52,55,57
UB Noževi,8,16,24,34,42,46,56,65,73,73,73,73,73
MNK Čunoglavci,4,11,14,20,32,37,43,49,49,56,59,65,69
NK Čuture,10,17,23,31,35,39,43,53,53,61,67,73,82
Los Kostolomikos,2,2,6,12,18,21,26,26,28,28,31,31,35
Matina Kola,3,11,16,25,33,36,44,51,76,85,93,113,121
Bugarske skitnice,6,10,14,19,29,31,38,41,45,58,68,76,87
HNK Pegalj,0,3,7,11,22,26,32,36,39,46,49,52,56
